starting at 	13-08-2020 20:25:01	
	['time', 'I_Beamline']	
1597343101.388357	0.37883604090831513	
1597343101.490357	0.3914078903386985	
1597343101.591357	0.331024765889135	
1597343101.692356	0.3381698125997247	
1597343101.793356	0.6580983399811757	
1597343101.894355	0.7954442465853102	
1597343101.994356	0.9520310368689952	
1597343102.095356	0.6849680306958166	
1597343102.195357	0.535357758882831	
1597343102.296355	0.8776766906079555	
1597343102.397359	0.2053476205110596	
1597343102.498356	0.01893220574484078	
1597343102.599356	0.40096608598486294	
1597343102.699356	0.0921992100622433	
1597343102.800355	0.02200802824934167	
1597343102.900356	0.844017581198533	
1597343103.000356	0.9752608148634389	
1597343103.101355	0.34562829161102615	
1597343103.201358	0.5949963325757203	
1597343103.302356	0.0033316772075332457	
1597343103.403356	0.3428327938934719	
1597343103.504357	0.9288451897914664	
1597343103.605356	0.19455501712411372	
1597343103.706356	0.6664755075044011	
1597343103.806359	0.6482224346391717	
1597343103.907356	0.47331853789889644	
1597343104.007357	0.6408077486158293	
1597343104.108355	0.9989860782124862	
1597343104.208356	0.17543354328206917	
1597343104.308356	0.6702220159495909	
1597343104.409356	0.6414717244802955	
1597343104.510356	0.9506209980265777	
1597343104.611356	0.6257499013303834	
1597343104.711356	0.48229051849506344	
1597343104.811357	0.9504050108915292	
1597343104.912356	0.6896224292874394	
1597343105.013356	0.2120824184208594	
1597343105.113357	0.7730683609667939	
1597343105.214356	0.9464311761623464	
1597343105.315355	0.49417269152564414	
1597343105.415356	0.04622769886028122	
1597343105.516356	0.2603664098605665	
1597343105.616356	0.973414282563854	
1597343105.717355	0.35205232295375777	
1597343105.817355	0.14956348645081297	
1597343105.917356	0.6550528555658833	
1597343106.018356	0.23376665123611395	
1597343106.119356	0.33509527264350736	
1597343106.220356	0.2880005892128886	
1597343106.320356	0.01449691735679104	
1597343106.421356	0.1861703123928401	
1597343106.521356	0.5523943090082919	
1597343106.622355	0.25576801462031074	
1597343106.722356	0.2149524251080822	
1597343106.822356	0.9627954469983745	
1597343106.923356	0.350667682199308	
1597343107.023356	0.5430691221716845	
1597343107.124356	0.7658354677599379	
1597343107.224357	0.566181202825815	
1597343107.325356	0.20583187420464366	
1597343107.426355	0.03805017521209164	
1597343107.527355	0.4690004112159042	
1597343107.627356	0.9262173730809329	
1597343107.728356	0.919699551679499	
1597343107.829356	0.8677103874806746	
1597343107.929356	0.899614338189726	
1597343108.029356	0.02507155884756096	
1597343108.129358	0.45586960625262507	
1597343108.230356	0.5101988414355229	
1597343108.330356	0.6737037656246115	
1597343108.431356	0.10675114656563178	
1597343108.531356	0.07655458645001223	
1597343108.631356	0.663079545855123	
1597343108.732356	0.20533169680563867	
1597343108.833356	0.6933394870287817	
1597343108.933356	0.4510803209003593	
1597343109.034357	0.0024422493100477727	
1597343109.135356	0.3538434567415273	
1597343109.236356	0.771332408639311	
1597343109.337356	0.6747566243966807	
1597343109.438357	0.14010733016610477	
1597343109.539357	0.3312258266984178	
1597343109.640359	0.6635610278160327	
1597343109.741355	0.4154802513526792	
1597343109.841356	0.9075913026512317	
1597343109.941356	0.3929079514450782	
1597343110.041356	0.8370945298280797	
1597343110.142357	0.8045007191562719	
1597343110.242358	0.8421907637123869	
1597343110.343356	0.40114403098044193	
1597343110.444356	0.46077356049670926	
1597343110.544356	0.6500499142642862	
1597343110.644356	0.03286599663467937	
1597343110.745356	0.8938075740710211	
1597343110.845356	0.9139223919404775	
1597343110.946356	0.9734219260808544	
1597343111.047356	0.5995475976023671	
1597343111.148356	0.84542801387452	
1597343111.249357	0.5955402849411715	
1597343111.350356	0.6373366686885044	
1597343111.450356	0.6282572911493631	
1597343111.551355	0.25761056467517895	
1597343111.651355	0.8605049787480298	
1597343111.751355	0.07470654514326247	
1597343111.851356	0.8623696109546828	
1597343111.952358	0.5485239217667423	
1597343112.05236	0.4866001010302978	
1597343112.153356	0.5486985690285904	
1597343112.254356	0.5122719158179414	
1597343112.355357	0.2964947831665443	
1597343112.456356	0.43098025069376356	
